Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-85j6,branch-4ivo,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,imagefile,ANSWER,CUE, TARGET,font
21,1592803342047,22/06/2020 05:22:22,1592803340423,-7,21/06/2020 22:22:20,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,21,19,1,Screen 2,Zone2,continue_button,721.6150000003836,,,,,0,1,0,,,,,1,study,blow-a.jpeg,,WIND,BLOW,a
22,1592803342736,22/06/2020 05:22:22,1592803341116,-7,21/06/2020 22:22:21,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,11,20,1,Screen 2,Zone2,continue_button,665.5899999996109,,,,,0,1,0,,,,,1,study,destory-a.jpeg,,KILL,DESTROY,a
23,1592803358112,22/06/2020 05:22:38,1592803356473,-7,21/06/2020 22:22:36,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,22,1,1,Screen 1,Zone2,response_text_entry,15321.31500000014,,,100,,0,1,0,,,,,,JOLs,,,,,
24,1592803358315,22/06/2020 05:22:38,1592803356477,-7,21/06/2020 22:22:36,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,22,1,1,Screen 1,Zone5,continue_button,15321.31500000014,,,,,0,1,0,,,,,,JOLs,,,,,
25,1592803363397,22/06/2020 05:22:43,1592803361763,-7,21/06/2020 22:22:41,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,22,1,2,Screen 2,Zone2,response_text_entry,5262.18499999959,,,100,,0,1,0,,,,,,JOLs,,,,,
26,1592803363601,22/06/2020 05:22:43,1592803361766,-7,21/06/2020 22:22:41,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,22,1,2,Screen 2,Zone5,continue_button,5262.18499999959,,,,,0,1,0,,,,,,JOLs,,,,,
27,1592803378715,22/06/2020 05:22:58,1592803377066,-7,21/06/2020 22:22:57,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,23,1,1,Screen 1,advancementZone,continue_button,15268.130000000383,,,,,0,1,0,,,,,,testinstruc,,,,,
28,1592803382543,22/06/2020 05:23:02,1592803380923,-7,21/06/2020 22:23:00,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,42,1,1,Screen 2,Zone2,response_text_entry,3811.8350000004284,,,CANDLE,1,0,1,0,,,,,2,test,candle-sf.jpeg,,WAX,CANDLE,sf
29,1592803384862,22/06/2020 05:23:04,1592803383243,-7,21/06/2020 22:23:03,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,25,2,1,Screen 2,Zone2,response_text_entry,2285.1749999999884,,,DEAF,1,0,1,0,,,,,2,test,deaf-sf.jpeg,,BLIND,DEAF,sf
30,1592803387890,22/06/2020 05:23:07,1592803386262,-7,21/06/2020 22:23:06,20464,5,task-64r3,,5727252,BLIND,1599988,,complete,,5ef03fb698ebb554bae33c81,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1280x720,1280x578,,Recog,4,Sh2,I consent,sf2,27,3,1,Screen 2,Zone2,response_text_entry,2974.5849999999336,,,,1,0,1,0,,,,,2,test,swim-a.jpeg,,DIVE,SWIM,a
