"","id","font","cond","acc"
"125","5d206e075278fa001848134d","flu","self-paced",0.583333333333333
"126","5d206e075278fa001848134d","SF","self-paced",0.333333333333333
"127","5d295e07d3edf9001a801625","flu","timed",0.666666666666667
"128","5d295e07d3edf9001a801625","SF","timed",0.75
"129","5d30dea16f058500017d0d73","flu","timed",0.5
"130","5d30dea16f058500017d0d73","SF","timed",0.166666666666667
"131","5d40d1ba12426c00157d3c7e","flu","timed",0.0833333333333333
"132","5d40d1ba12426c00157d3c7e","SF","timed",0.416666666666667
"133","5d437dd5da6dc8001a544cf6","flu","self-paced",0.416666666666667
"134","5d437dd5da6dc8001a544cf6","SF","self-paced",0.583333333333333
"135","5d443a1442cdc60001220097","flu","self-paced",0.25
"136","5d443a1442cdc60001220097","SF","self-paced",0.25
"137","5d4709f1291942001c2bf782","flu","self-paced",0.166666666666667
"138","5d4709f1291942001c2bf782","SF","self-paced",0.666666666666667
"139","5d4ecfd93273de0019663e6b","flu","timed",0.416666666666667
"140","5d4ecfd93273de0019663e6b","SF","timed",0.416666666666667
"141","5d59d1c4f6a63300198681e8","flu","timed",0.583333333333333
"142","5d59d1c4f6a63300198681e8","SF","timed",0.666666666666667
"143","5d6212e10f304e001a8b7a71","flu","timed",0.166666666666667
"144","5d6212e10f304e001a8b7a71","SF","timed",0.333333333333333
"145","5d7db18e3baa8f000148f6c0","flu","timed",0.416666666666667
"146","5d7db18e3baa8f000148f6c0","SF","timed",0.583333333333333
"147","5d8e361e6e920e0014b459d9","flu","self-paced",0.0833333333333333
"148","5d8e361e6e920e0014b459d9","SF","self-paced",0.166666666666667
"149","5d906c7a0d760000173f71db","flu","timed",0.0833333333333333
"150","5d906c7a0d760000173f71db","SF","timed",0.0833333333333333
"151","5d99898ab82ce10398fc1556","flu","self-paced",1
"152","5d99898ab82ce10398fc1556","SF","self-paced",1
"153","5daa79d095be5f0017360d60","flu","self-paced",0.25
"154","5daa79d095be5f0017360d60","SF","self-paced",0.25
"155","5db44511de8fe4000d6813a0","flu","self-paced",0.416666666666667
"156","5db44511de8fe4000d6813a0","SF","self-paced",0.333333333333333
"157","5dc3545b178fc925f5334145","flu","self-paced",0.416666666666667
"158","5dc3545b178fc925f5334145","SF","self-paced",0.666666666666667
"159","5dd00b29caee3e107a99f653","flu","timed",0.5
"160","5dd00b29caee3e107a99f653","SF","timed",0.416666666666667
"161","5dd3dc145e91193b816a60e1","flu","self-paced",0
"162","5dd3dc145e91193b816a60e1","SF","self-paced",0
"163","5dd41eae568ca540428e1620","flu","timed",0.5
"164","5dd41eae568ca540428e1620","SF","timed",0.666666666666667
"165","5dda0a8b3c870a9824c901f5","flu","self-paced",0.25
"166","5dda0a8b3c870a9824c901f5","SF","self-paced",0.25
"167","5de78a77599d506f27692fcf","flu","timed",0.416666666666667
"168","5de78a77599d506f27692fcf","SF","timed",0.583333333333333
"169","5de9592f8d43d908baa05cc2","flu","self-paced",0.416666666666667
"170","5de9592f8d43d908baa05cc2","SF","self-paced",0.166666666666667
"171","5df3b862ae7b3028f26b2509","flu","timed",0.25
"172","5df3b862ae7b3028f26b2509","SF","timed",0
"173","5df8ebd9b6385366b2ec116e","flu","timed",0.25
"174","5df8ebd9b6385366b2ec116e","SF","timed",0.0833333333333333
"175","5dfbb9eaae7b308dbf97a681","flu","timed",0.5
"176","5dfbb9eaae7b308dbf97a681","SF","timed",0.666666666666667
"177","5dff723379f2fabb6ecc9622","flu","timed",0.333333333333333
"178","5dff723379f2fabb6ecc9622","SF","timed",0.416666666666667
"179","5e04b9be7adf4bf23f066a2a","flu","timed",0.333333333333333
"180","5e04b9be7adf4bf23f066a2a","SF","timed",0.666666666666667
"181","5e04f4bbafb8b0f605589b35","flu","timed",0.166666666666667
"182","5e04f4bbafb8b0f605589b35","SF","timed",0.25
"183","5e08389f67f170185698a2be","flu","self-paced",0.166666666666667
"184","5e08389f67f170185698a2be","SF","self-paced",0.416666666666667
"185","5e1643c3271305c216555087","flu","self-paced",0
"186","5e1643c3271305c216555087","SF","self-paced",0
"187","5e26f1f9cf445f9239c88cb7","flu","self-paced",0.75
"188","5e26f1f9cf445f9239c88cb7","SF","self-paced",0.666666666666667
"189","5e2784b2cf46ff9ab1191cc9","flu","self-paced",1
"190","5e2784b2cf46ff9ab1191cc9","SF","self-paced",1
"191","5e2b31856d1e38180da77784","flu","self-paced",0.333333333333333
"192","5e2b31856d1e38180da77784","SF","self-paced",0.25
"193","5e2b632409d1f701d8005bfe","flu","timed",0.5
"194","5e2b632409d1f701d8005bfe","SF","timed",0.75
"195","5e2e461a432e4d4274be5f44","flu","timed",0.25
"196","5e2e461a432e4d4274be5f44","SF","timed",0.166666666666667
"197","5e2f95da81f6df558263a6e0","flu","timed",0.25
"198","5e2f95da81f6df558263a6e0","SF","timed",0
"199","5e33347ea707e906066a73d6","flu","timed",0.0833333333333333
"200","5e33347ea707e906066a73d6","SF","timed",0.5
"201","5e370a4b41d1cd694e21f3fe","flu","timed",0.0833333333333333
"202","5e370a4b41d1cd694e21f3fe","SF","timed",0.166666666666667
"203","5e387dba03aa45000bc6e272","flu","self-paced",0.333333333333333
"204","5e387dba03aa45000bc6e272","SF","self-paced",0.166666666666667
"205","5e3d8f6b6b1c15033ce417f4","flu","timed",0.666666666666667
"206","5e3d8f6b6b1c15033ce417f4","SF","timed",0.333333333333333
"207","5e4c56efdd24100b2ca392ba","flu","timed",0.333333333333333
"208","5e4c56efdd24100b2ca392ba","SF","timed",0.416666666666667
"209","5e52a82ecd4f3b000c197841","flu","timed",0.5
"210","5e52a82ecd4f3b000c197841","SF","timed",0.5
"211","5e52b9d51b67682d44d8679d","flu","self-paced",0.166666666666667
"212","5e52b9d51b67682d44d8679d","SF","self-paced",0.166666666666667
"213","5e531b2205acdb33c0f5f24c","flu","self-paced",0.5
"214","5e531b2205acdb33c0f5f24c","SF","self-paced",0.5
"215","5e567cd58e4500024e8d096c","flu","self-paced",0.416666666666667
"216","5e567cd58e4500024e8d096c","SF","self-paced",0.5
"217","5e56f2e7ff61610a420f9bb2","flu","self-paced",0.833333333333333
"218","5e56f2e7ff61610a420f9bb2","SF","self-paced",0.666666666666667
"219","5e64807cef9fad1fc7efbba5","flu","self-paced",0.416666666666667
"220","5e64807cef9fad1fc7efbba5","SF","self-paced",0.666666666666667
"221","5e7b815adb5aba05af6e6cc7","flu","self-paced",0.333333333333333
"222","5e7b815adb5aba05af6e6cc7","SF","self-paced",0.166666666666667
"223","5e8a30e32c33ae6d9a030603","flu","self-paced",0.25
