key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
,,,,,,,,,,,,,,0.036,0.031,0.005,paint,picture,SF,images/paint-picture-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,-0.060331825,-0.014328808,1,0,0,1.128345,polygon_2,1,paint,0,2,2,14,1,,,,,,,
,,,,,,,,,,,,,,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,touch,-0.119155354,0.008295626,1,0,0,0.98679,polygon_2,1,taste,0,3,3,21,1,,,,,,,
,,,,,,,,,,,,,,0.014,0.021,0.007,object,symbol,flu,images/object-symbol-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,-0.073906486,-0.003770739,1,0,0,1.21068,polygon_2,1,object,0,4,4,12,1,,,,,,,
,,,,,,,,,,,,,,0.04,0.019,0.021,block,street,flu,images/block-street-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,street,-0.037707391,-0.003770739,1,0,0,0.8925,polygon_2,1,block,0,5,5,1,1,,,,,,,
,,,,,,,,,,,,,,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,branch,-0.064856712,0.003770739,1,0,0,1.154695,polygon_2,1,stick,0,6,6,20,1,,,,,,,
,,,,,,,,,,,,,,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,mother,-0.167420814,-0.005279035,1,0,0,1.006205,polygon_2,1,child,0,7,7,2,1,,,,,,,
,,,,,,,,,,,,,,0.061,0.027,0.034,quarter,dollar,SF,images/quarter-dollar-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,dollar,-0.158371041,0.012820513,1,0,0,1.135185,polygon_2,1,quarter,0,8,8,16,1,,,,,,,
,,,,,,,,,,,,,,0.021,0.053,0.032,sheet,cover,flu,images/sheet-cover-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,,-0.021116139,0.002262443,1,0,0,0.91093,polygon_2,1,sheet,0,9,9,19,1,,,,,,,
,,,,,,,,,,,,,,0.019,0.028,0.009,lunch,supper,SF,images/lunch-supper-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,dinner,0.003016591,0.009803922,1,0,0,0.99791,polygon_2,1,lunch,0,10,10,8,1,,,,,,,
,,,,,,,,,,,,,,0.02,0.029,0.009,angle,corner,flu,images/angle-corner-arial1.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,ratio,-0.070889894,0.003770739,1,0,0,1.078725,polygon_2,1,angle,0,11,11,0,1,,,,,,,
,,,,,,,,,,,,,,0.034,0.034,0,novel,story,SF,images/novel-story-sf.png,5f02928eb864764323d1f42a,2020-12-28_16h52.22.089,weird_font_low_1,2020.2.10,Win32,60,5fea53ffbc4c4da6e0d31b4a,5fea6197a4feb0a656a2cfd5,,,,,,,,,,,,story,-0.138763198,0.005279035,1,0,0,0.838785,polygon_2,1,novel,0,12,12,11,1,,,,,,,
