key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,cb.thisRepN,cb.thisTrialN,cb.thisN,cb.thisIndex,cb.ran,Forward,Backward,AbsoluteValue,cue1,targ1,font,images,participant,date,expName,psychopyVersion,OS,frameRate,study_id,session,atypic_slider.response,atypic_slider.rt,normal_slider.response,normal_slider.rt,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,textbox.text,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,correctAns,textbox_response,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name
,,,,,,,,,0,10,10,4,1,0.018,0.011,0.007,curve,shape,SF,images/curve-shape-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,11,11,18,1,0.015,0.024,0.009,report,weather,SF,images/report-weather-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,12,12,15,1,0.014,0.03,0.016,people,world,flu,images/people -world-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,13,13,20,1,0.067,0.047,0.02,stick,branch,flu,images/stick-branch-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,14,14,6,1,0.02,0.028,0.008,factory,product,flu,images/factory-product-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,15,15,2,1,0.03,0.01,0.02,child,mother,flu,images/child-mother-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,16,16,5,1,0.033,0.027,0.006,engine,machine,SF,images/engine-machine-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,17,17,21,1,0.016,0.012,0.004,taste,touch,flu,images/taste-touch-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,18,18,10,1,0.056,0.031,0.025,native,foreign,flu,images/native-foreign-arial1.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,19,19,3,1,0.035,0.046,0.011,college,student,SF,images/college-student-sf.png,596c36966956b40001c59d4e,2020-12-28_17h57.44.635,weird_font_low_1,2020.2.10,MacIntel,60,5fea53ffbc4c4da6e0d31b4a,5fea62bf509c7e278feaeb37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
