"","participant_private_id","testexpect","Arial","Sans Forgetica"
"155",1531929,"high",-0.0536445159942559,0.113635203574375
"156",1531931,"high",0.792336749920377,0.712427838090565
"157",1531932,"high",1.74846595177722,0.873240500096813
"158",1531933,"high",0.765563566717508,1.23779166101176
"159",1531940,"high",0.770191319450554,1.06914617819263
"160",1531941,"high",0.992866590529565,1.91504582028007
"161",1531942,"high",0.162263555944989,0.726713365772701
"162",1531944,"high",0.960922615959305,0.698928810818402
"163",1531951,"high",-0.0536445159942559,0.450445464392253
"164",1531962,"high",0.712427838090565,1.45119646038912
"165",1531968,"high",0.107059392414909,0.327243352288752
"166",1531969,"high",0.540014701928198,0.485428079362514
"167",1531973,"high",-0.215678432365642,0.107676933379305
"168",1531975,"high",0.90019197617366,0.450445464392253
"169",1531980,"high",0.653649905502573,0.255518243845799
"170",1531982,"high",1.15077351049163,0.574754195530793
"171",1531983,"high",1.54882640923333,1.57153667194518
"172",1531984,"high",0.684659816541071,-0.139016614394856
"173",1531985,"high",1.38344235462642,2.02936459723469
"174",1531986,"high",3.19876891975803,3.57234361866778
"175",1531987,"high",0.554512887084912,0.116167214683851
"176",1531988,"high",1.07951100185947,1.37987220721436
"177",1531989,"high",0.984621968002832,0.90019197617366
"178",1532152,"low",0.876945034623527,-0.214430648552278
"179",1532156,"low",0.0534148764206533,0.376076663532871
"180",1532157,"low",0.726713365772701,0.967946081936364
"181",1532158,"low",1.0639524079692,1.97243510237593
"182",1532160,"low",0.326780752477951,-0.168585866038928
"183",1532175,"high",0.680789620644943,-0.265103309755367
"184",1532177,"high",1.91342795747331,1.69885103618798
"185",1532178,"high",3.39958961773674,2.32484526869646
"186",1532183,"high",0.859327041985631,0.461118991956418
"187",1532189,"high",0.718290989365184,1.17473572354719
"188",1532209,"low",0.376076663532871,0.726713365772701
"189",1532211,"low",0.298278729106935,4.65269574808168
"190",1532218,"high",0.595333700372792,0.84575162634103
"191",1532220,"high",0.708968903947167,0.591869418403493
"192",1532226,"low",1.93438509429927,2.56440326247475
"193",1532271,"low",0.38316278732426,0.726535611891918
"194",1532309,"low",0.35063670223983,0.239071782316721
"195",1532543,"high",1.00379554368149,1.12792411078062
"196",1532550,"high",1.25082867841349,1.37987220721436
"197",1690573,"high",1.12881197841943,1.00379554368149
"198",1690598,"high",1.67892302608819,1.38984529280835
"199",1690606,"high",0.737928420228671,0.828196610375462
"200",1690607,"high",0.930411796736999,1.58806772060999
"201",1690608,"high",0.805682525991375,0.845605353607975
"202",1690611,"high",1.54630934987526,1.38984529280835
"203",1690623,"high",0.619653973357792,0.653649905502573
"204",1690626,"high",0.239071782316721,1.17008789590359
"205",1690629,"high",0.233996117330275,0.22773213460696
"206",1690640,"high",0.946897325646543,1.52245896902128
"207",1690642,"high",0.570926925407355,1.05823451545082
"208",1690644,"high",1.61116892032548,1.28372309947796
"209",1690645,"high",0.712427838090565,0.0536445159942559
"210",1690646,"high",0.557199179565226,0.055318998444594
"211",1690649,"high",1.99433170764974,2.17853126722867
"212",1690661,"high",0.385558685065943,1.34485105342667
"213",1690666,"high",0.979994215269786,0.415496272690055
"214",1690668,"high",3.84974422475947,3.24519288311969
"215",1690670,"high",0.541674000841029,0.269017271117962
"216",1690674,"high",0.288181908447264,0.663131927035645
"217",1690675,"high",0.405223324805514,0.73792842022867
"218",1690676,"high",1.0042866077424,0.90019197617366
"219",1690680,"high",1.43519120565895,1.07951100185947
"220",1690683,"high",0.89909046509335,0.657841215524881
"221",1690684,"high",0.371685458529651,1.28104849897683
"222",1690690,"high",0.767746836535159,0.326780752477951
"223",1690691,"high",1.64171223660425,1.38984529280835
"224",1690695,"high",1.00060974653783,1.01433749237996
"225",1690696,"high",2.21583037411002,2.39581739643582
"226",1690699,"high",0.437971473136931,0.160168591593626
"227",1690700,"high",0.798659060014315,1.06018227489331
"228",1690704,"high",-0.680789620644943,0.873240500096813
"229",1690708,"high",0.713676348370974,1.0870536076847
"230",1690946,"high",1.51108689810488,1.06914617819263
"231",1690957,"high",1.36788376073615,0.716776443029901
