"","id","font","cond","acc","new_id","Typeface","timed"
"128","5d295e07d3edf9001a801625","SF","timed",0.75,"64","Sans Forgetica","Timed"
"129","5d30dea16f058500017d0d73","flu","timed",0.5,"65","Arial","Timed"
"130","5d30dea16f058500017d0d73","SF","timed",0.166666666666667,"65","Sans Forgetica","Timed"
"131","5d40d1ba12426c00157d3c7e","flu","timed",0.0833333333333333,"66","Arial","Timed"
"132","5d40d1ba12426c00157d3c7e","SF","timed",0.416666666666667,"66","Sans Forgetica","Timed"
"133","5d437dd5da6dc8001a544cf6","flu","self-paced",0.416666666666667,"67","Arial","Self-paced"
"134","5d437dd5da6dc8001a544cf6","SF","self-paced",0.583333333333333,"67","Sans Forgetica","Self-paced"
"135","5d443a1442cdc60001220097","flu","self-paced",0.25,"68","Arial","Self-paced"
"136","5d443a1442cdc60001220097","SF","self-paced",0.25,"68","Sans Forgetica","Self-paced"
"137","5d4709f1291942001c2bf782","flu","self-paced",0.166666666666667,"69","Arial","Self-paced"
"138","5d4709f1291942001c2bf782","SF","self-paced",0.666666666666667,"69","Sans Forgetica","Self-paced"
"139","5d4ecfd93273de0019663e6b","flu","timed",0.416666666666667,"70","Arial","Timed"
"140","5d4ecfd93273de0019663e6b","SF","timed",0.416666666666667,"70","Sans Forgetica","Timed"
"141","5d59d1c4f6a63300198681e8","flu","timed",0.583333333333333,"71","Arial","Timed"
"142","5d59d1c4f6a63300198681e8","SF","timed",0.666666666666667,"71","Sans Forgetica","Timed"
"143","5d6212e10f304e001a8b7a71","flu","timed",0.166666666666667,"72","Arial","Timed"
"144","5d6212e10f304e001a8b7a71","SF","timed",0.333333333333333,"72","Sans Forgetica","Timed"
"145","5d7db18e3baa8f000148f6c0","flu","timed",0.416666666666667,"73","Arial","Timed"
"146","5d7db18e3baa8f000148f6c0","SF","timed",0.583333333333333,"73","Sans Forgetica","Timed"
"147","5d8e361e6e920e0014b459d9","flu","self-paced",0.0833333333333333,"74","Arial","Self-paced"
"148","5d8e361e6e920e0014b459d9","SF","self-paced",0.166666666666667,"74","Sans Forgetica","Self-paced"
"149","5d906c7a0d760000173f71db","flu","timed",0.0833333333333333,"75","Arial","Timed"
"150","5d906c7a0d760000173f71db","SF","timed",0.0833333333333333,"75","Sans Forgetica","Timed"
"151","5d99898ab82ce10398fc1556","flu","self-paced",1,"76","Arial","Self-paced"
"152","5d99898ab82ce10398fc1556","SF","self-paced",1,"76","Sans Forgetica","Self-paced"
"153","5daa79d095be5f0017360d60","flu","self-paced",0.25,"77","Arial","Self-paced"
"154","5daa79d095be5f0017360d60","SF","self-paced",0.25,"77","Sans Forgetica","Self-paced"
"155","5db44511de8fe4000d6813a0","flu","self-paced",0.416666666666667,"78","Arial","Self-paced"
"156","5db44511de8fe4000d6813a0","SF","self-paced",0.333333333333333,"78","Sans Forgetica","Self-paced"
"157","5dc3545b178fc925f5334145","flu","self-paced",0.416666666666667,"79","Arial","Self-paced"
"158","5dc3545b178fc925f5334145","SF","self-paced",0.666666666666667,"79","Sans Forgetica","Self-paced"
"159","5dd00b29caee3e107a99f653","flu","timed",0.5,"80","Arial","Timed"
"160","5dd00b29caee3e107a99f653","SF","timed",0.416666666666667,"80","Sans Forgetica","Timed"
"161","5dd3dc145e91193b816a60e1","flu","self-paced",0,"81","Arial","Self-paced"
"162","5dd3dc145e91193b816a60e1","SF","self-paced",0,"81","Sans Forgetica","Self-paced"
"163","5dd41eae568ca540428e1620","flu","timed",0.5,"82","Arial","Timed"
"164","5dd41eae568ca540428e1620","SF","timed",0.666666666666667,"82","Sans Forgetica","Timed"
"165","5dda0a8b3c870a9824c901f5","flu","self-paced",0.25,"83","Arial","Self-paced"
"166","5dda0a8b3c870a9824c901f5","SF","self-paced",0.25,"83","Sans Forgetica","Self-paced"
"167","5de78a77599d506f27692fcf","flu","timed",0.416666666666667,"84","Arial","Timed"
"168","5de78a77599d506f27692fcf","SF","timed",0.583333333333333,"84","Sans Forgetica","Timed"
"169","5de9592f8d43d908baa05cc2","flu","self-paced",0.416666666666667,"85","Arial","Self-paced"
"170","5de9592f8d43d908baa05cc2","SF","self-paced",0.166666666666667,"85","Sans Forgetica","Self-paced"
"171","5df3b862ae7b3028f26b2509","flu","timed",0.25,"86","Arial","Timed"
"172","5df3b862ae7b3028f26b2509","SF","timed",0,"86","Sans Forgetica","Timed"
"173","5df8ebd9b6385366b2ec116e","flu","timed",0.25,"87","Arial","Timed"
"174","5df8ebd9b6385366b2ec116e","SF","timed",0.0833333333333333,"87","Sans Forgetica","Timed"
"175","5dfbb9eaae7b308dbf97a681","flu","timed",0.5,"88","Arial","Timed"
"176","5dfbb9eaae7b308dbf97a681","SF","timed",0.666666666666667,"88","Sans Forgetica","Timed"
"177","5dff723379f2fabb6ecc9622","flu","timed",0.333333333333333,"89","Arial","Timed"
"178","5dff723379f2fabb6ecc9622","SF","timed",0.416666666666667,"89","Sans Forgetica","Timed"
"179","5e04b9be7adf4bf23f066a2a","flu","timed",0.333333333333333,"90","Arial","Timed"
"180","5e04b9be7adf4bf23f066a2a","SF","timed",0.666666666666667,"90","Sans Forgetica","Timed"
"181","5e04f4bbafb8b0f605589b35","flu","timed",0.166666666666667,"91","Arial","Timed"
"182","5e04f4bbafb8b0f605589b35","SF","timed",0.25,"91","Sans Forgetica","Timed"
"183","5e08389f67f170185698a2be","flu","self-paced",0.166666666666667,"92","Arial","Self-paced"
"184","5e08389f67f170185698a2be","SF","self-paced",0.416666666666667,"92","Sans Forgetica","Self-paced"
"185","5e1643c3271305c216555087","flu","self-paced",0,"93","Arial","Self-paced"
"186","5e1643c3271305c216555087","SF","self-paced",0,"93","Sans Forgetica","Self-paced"
"187","5e26f1f9cf445f9239c88cb7","flu","self-paced",0.75,"94","Arial","Self-paced"
"188","5e26f1f9cf445f9239c88cb7","SF","self-paced",0.666666666666667,"94","Sans Forgetica","Self-paced"
"189","5e2784b2cf46ff9ab1191cc9","flu","self-paced",1,"95","Arial","Self-paced"
"190","5e2784b2cf46ff9ab1191cc9","SF","self-paced",1,"95","Sans Forgetica","Self-paced"
"191","5e2b31856d1e38180da77784","flu","self-paced",0.333333333333333,"96","Arial","Self-paced"
"192","5e2b31856d1e38180da77784","SF","self-paced",0.25,"96","Sans Forgetica","Self-paced"
"193","5e2b632409d1f701d8005bfe","flu","timed",0.5,"97","Arial","Timed"
"194","5e2b632409d1f701d8005bfe","SF","timed",0.75,"97","Sans Forgetica","Timed"
"195","5e2e461a432e4d4274be5f44","flu","timed",0.25,"98","Arial","Timed"
"196","5e2e461a432e4d4274be5f44","SF","timed",0.166666666666667,"98","Sans Forgetica","Timed"
"197","5e2f95da81f6df558263a6e0","flu","timed",0.25,"99","Arial","Timed"
"198","5e2f95da81f6df558263a6e0","SF","timed",0,"99","Sans Forgetica","Timed"
"199","5e33347ea707e906066a73d6","flu","timed",0.0833333333333333,"100","Arial","Timed"
"200","5e33347ea707e906066a73d6","SF","timed",0.5,"100","Sans Forgetica","Timed"
"201","5e370a4b41d1cd694e21f3fe","flu","timed",0.0833333333333333,"101","Arial","Timed"
"202","5e370a4b41d1cd694e21f3fe","SF","timed",0.166666666666667,"101","Sans Forgetica","Timed"
"203","5e387dba03aa45000bc6e272","flu","self-paced",0.333333333333333,"102","Arial","Self-paced"
"204","5e387dba03aa45000bc6e272","SF","self-paced",0.166666666666667,"102","Sans Forgetica","Self-paced"
"205","5e3d8f6b6b1c15033ce417f4","flu","timed",0.666666666666667,"103","Arial","Timed"
"206","5e3d8f6b6b1c15033ce417f4","SF","timed",0.333333333333333,"103","Sans Forgetica","Timed"
"207","5e4c56efdd24100b2ca392ba","flu","timed",0.333333333333333,"104","Arial","Timed"
"208","5e4c56efdd24100b2ca392ba","SF","timed",0.416666666666667,"104","Sans Forgetica","Timed"
"209","5e52a82ecd4f3b000c197841","flu","timed",0.5,"105","Arial","Timed"
"210","5e52a82ecd4f3b000c197841","SF","timed",0.5,"105","Sans Forgetica","Timed"
"211","5e52b9d51b67682d44d8679d","flu","self-paced",0.166666666666667,"106","Arial","Self-paced"
"212","5e52b9d51b67682d44d8679d","SF","self-paced",0.166666666666667,"106","Sans Forgetica","Self-paced"
"213","5e531b2205acdb33c0f5f24c","flu","self-paced",0.5,"107","Arial","Self-paced"
"214","5e531b2205acdb33c0f5f24c","SF","self-paced",0.5,"107","Sans Forgetica","Self-paced"
"215","5e567cd58e4500024e8d096c","flu","self-paced",0.416666666666667,"108","Arial","Self-paced"
"216","5e567cd58e4500024e8d096c","SF","self-paced",0.5,"108","Sans Forgetica","Self-paced"
"217","5e56f2e7ff61610a420f9bb2","flu","self-paced",0.833333333333333,"109","Arial","Self-paced"
"218","5e56f2e7ff61610a420f9bb2","SF","self-paced",0.666666666666667,"109","Sans Forgetica","Self-paced"
"219","5e64807cef9fad1fc7efbba5","flu","self-paced",0.416666666666667,"110","Arial","Self-paced"
"220","5e64807cef9fad1fc7efbba5","SF","self-paced",0.666666666666667,"110","Sans Forgetica","Self-paced"
"221","5e7b815adb5aba05af6e6cc7","flu","self-paced",0.333333333333333,"111","Arial","Self-paced"
"222","5e7b815adb5aba05af6e6cc7","SF","self-paced",0.166666666666667,"111","Sans Forgetica","Self-paced"
"223","5e8a30e32c33ae6d9a030603","flu","self-paced",0.25,"112","Arial","Self-paced"
"224","5e8a30e32c33ae6d9a030603","SF","self-paced",0.25,"112","Sans Forgetica","Self-paced"
"225","5e954b384491ad117052cd48","flu","self-paced",0.166666666666667,"113","Arial","Self-paced"
"226","5e954b384491ad117052cd48","SF","self-paced",0.166666666666667,"113","Sans Forgetica","Self-paced"
"227","5e960111bc10f706bfe802fe","flu","timed",0.833333333333333,"114","Arial","Timed"
"228","5e960111bc10f706bfe802fe","SF","timed",0.583333333333333,"114","Sans Forgetica","Timed"
"229","5e98f760b15997144ccb811c","flu","timed",0.166666666666667,"115","Arial","Timed"
"230","5e98f760b15997144ccb811c","SF","timed",0,"115","Sans Forgetica","Timed"
"231","5e9bbf225591a00cf81a872a","flu","timed",0.166666666666667,"116","Arial","Timed"
"232","5e9bbf225591a00cf81a872a","SF","timed",0.0833333333333333,"116","Sans Forgetica","Timed"
"233","5e9e5208595cb12230f38262","flu","timed",0.166666666666667,"117","Arial","Timed"
"234","5e9e5208595cb12230f38262","SF","timed",0.25,"117","Sans Forgetica","Timed"
"235","5e9f9c19695232149bb32a86","flu","self-paced",0.0833333333333333,"118","Arial","Self-paced"
"236","5e9f9c19695232149bb32a86","SF","self-paced",0.333333333333333,"118","Sans Forgetica","Self-paced"
"237","5ea0caf8cc5aed0c2532c8a4","flu","timed",0.666666666666667,"119","Arial","Timed"
"238","5ea0caf8cc5aed0c2532c8a4","SF","timed",0.333333333333333,"119","Sans Forgetica","Timed"
"239","5ea1d25da1c8d20bebd94bd3","flu","self-paced",0.25,"120","Arial","Self-paced"
"240","5ea1d25da1c8d20bebd94bd3","SF","self-paced",0.583333333333333,"120","Sans Forgetica","Self-paced"
"241","5ea9c19ffb690111a323008e","flu","self-paced",0.0833333333333333,"121","Arial","Self-paced"
"242","5ea9c19ffb690111a323008e","SF","self-paced",0,"121","Sans Forgetica","Self-paced"
"243","5ead74964a9aaa40560b5905","flu","self-paced",0.166666666666667,"122","Arial","Self-paced"
