"","participant_private_id","testexpect","Sans Forgetica","Arial"
"195",1531745,"Low Test Expectancy",100,100
"196",1531744,"Low Test Expectancy",3,3
"197",1531751,"Low Test Expectancy",70,70
"198",1532160,"Low Test Expectancy",60,50
"199",1532211,"Low Test Expectancy",NA,75
"200",1532271,"Low Test Expectancy",70,50
"201",1531474,"Low Test Expectancy",5,5
"202",1531504,"Low Test Expectancy",55,55
"203",1531536,"Low Test Expectancy",60,65
"204",1531544,"Low Test Expectancy",50,75
"205",1531555,"Low Test Expectancy",100,100
"206",1531561,"Low Test Expectancy",35,60
"207",1531571,"Low Test Expectancy",90,100
"208",1531586,"Low Test Expectancy",35,55
"209",1531590,"Low Test Expectancy",5,10
"210",1531605,"Low Test Expectancy",35,35
"211",1531622,"Low Test Expectancy",25,25
"212",1531621,"Low Test Expectancy",98,100
"213",1531639,"Low Test Expectancy",100,100
"214",1531638,"Low Test Expectancy",100,100
"215",1531647,"Low Test Expectancy",100,100
"216",1531664,"Low Test Expectancy",75,70
"217",1531679,"Low Test Expectancy",30,10
"218",1531688,"Low Test Expectancy",95,95
"219",1531695,"Low Test Expectancy",50,50
"220",1531697,"Low Test Expectancy",20,40
"221",1531716,"Low Test Expectancy",100,100
"222",1531725,"Low Test Expectancy",56,78
"223",1531733,"Low Test Expectancy",50,100
"224",1531741,"Low Test Expectancy",70,70
"225",1531738,"Low Test Expectancy",70,80
"226",1531721,"Low Test Expectancy",100,100
"227",1531734,"Low Test Expectancy",100,100
"228",1532157,"Low Test Expectancy",60,60
"229",1532158,"Low Test Expectancy",60,60
"230",1532309,"Low Test Expectancy",45,60
